Fecha,TCR1
26/8/2007,7.66178,7.66178
27/8/2007,7.66954,7.66954
28/8/2007,7.67454,7.67454
29/8/2007,7.67986,7.67986
30/8/2007,7.68780,7.68780
31/8/2007,7.68059,7.68059
1/9/2007,7.68059,7.68059
2/9/2007,7.68059,7.68059
3/9/2007,7.68040,7.68040
4/9/2007,7.67890,7.67890
5/9/2007,7.68288,7.68288
6/9/2007,7.68285,7.68285
7/9/2007,7.67806,7.67806
8/9/2007,7.67806,7.67806
9/9/2007,7.67806,7.67806
10/9/2007,7.67913,7.67913
11/9/2007,7.68103,7.68103
12/9/2007,7.68437,7.68437
13/9/2007,7.68943,7.68943
14/9/2007,7.68943,7.68943
15/9/2007,7.68943,7.68943
16/9/2007,7.68943,7.68943
17/9/2007,7.68260,7.68260
18/9/2007,7.67790,7.67790
19/9/2007,7.68326,7.68326
20/9/2007,7.70002,7.70002
21/9/2007,7.70314,7.70314
22/9/2007,7.70314,7.70314
23/9/2007,7.70314,7.70314
24/9/2007,7.72073,7.72073
25/9/2007,7.72087,7.72087
26/9/2007,7.72360,7.72360
27/9/2007,7.73072,7.73072
28/9/2007,7.75396,7.75396
29/9/2007,7.75396,7.75396
30/9/2007,7.75396,7.75396
1/10/2007,7.75285,7.75285
2/10/2007,7.75031,7.75031
3/10/2007,7.73882,7.73882
4/10/2007,7.72960,7.72960
5/10/2007,7.73423,7.73423
6/10/2007,7.73423,7.73423
7/10/2007,7.73423,7.73423
8/10/2007,7.73831,7.73831
9/10/2007,7.73833,7.73833
10/10/2007,7.73801,7.73801
11/10/2007,7.74717,7.74717
12/10/2007,7.74717,7.74717
13/10/2007,7.74717,7.74717
14/10/2007,7.74717,7.74717
15/10/2007,7.74945,7.74945
16/10/2007,7.73839,7.73839
17/10/2007,7.73376,7.73376
18/10/2007,7.72496,7.72496
19/10/2007,7.72496,7.72496
20/10/2007,7.72496,7.72496
21/10/2007,7.72496,7.72496
22/10/2007,7.71901,7.71901
23/10/2007,7.70971,7.70971
24/10/2007,7.69101,7.69101
25/10/2007,7.68650,7.68650
26/10/2007,7.70446,7.70446
27/10/2007,7.70446,7.70446
28/10/2007,7.70446,7.70446
29/10/2007,7.70878,7.70878
30/10/2007,7.71146,7.71146
31/10/2007,7.69480,7.69480
1/11/2007,7.69480,7.69480
2/11/2007,7.68420,7.68420
3/11/2007,7.68420,7.68420
4/11/2007,7.68420,7.68420
5/11/2007,7.67919,7.67919
6/11/2007,7.67109,7.67109
7/11/2007,7.65615,7.65615
8/11/2007,7.64451,7.64451
9/11/2007,7.64268,7.64268
10/11/2007,7.64268,7.64268
11/11/2007,7.64268,7.64268
12/11/2007,7.63298,7.63298
13/11/2007,7.61597,7.61597
14/11/2007,7.61514,7.61514
15/11/2007,7.63274,7.63274
16/11/2007,7.63391,7.63391
17/11/2007,7.63391,7.63391
18/11/2007,7.63391,7.63391
19/11/2007,7.62746,7.62746
20/11/2007,7.61838,7.61838
21/11/2007,7.60997,7.60997
22/11/2007,7.60634,7.60634
23/11/2007,7.61875,7.61875
24/11/2007,7.61875,7.61875
25/11/2007,7.61875,7.61875
26/11/2007,7.62783,7.62783
27/11/2007,7.64202,7.64202
28/11/2007,7.66769,7.66769
29/11/2007,7.67511,7.67511
